"register","Factor1_sd","Factor2_sd","Factor3_sd","Factor4_sd","Factor5_sd","Factor6_sd"
"academic",0.309657277835736,0.634490671340771,0.642232090522784,0.838085108543695,1.01868709376643,0.816390592473751
"broadcast",0.414737673203325,0.683475620269375,0.878905235610542,0.745702236703734,0.546174134608436,0.877540238794342
"business letters",0.366364411059397,0.85467068123172,0.908211690820825,0.829505843399191,0.536079129669045,0.723287210526408
"business transactions",0.637818253555721,0.929480139418704,1.23452048265673,1.2087488470297,0.351652385725609,0.769074755359444
"commentaries",0.321157498313977,1.37775401016762,0.469312144548096,0.529657043724586,0.838017662997292,0.467426655560953
"conversation",0.587322352840924,0.757533188583066,0.872769930576812,0.800795395584212,0.537033554362397,1.07023603109503
"cross-examinations",0.472972892955399,0.747164903258826,0.726845978482638,0.713728489916297,0.401141601148132,1.02001012398754
"demonstrations",0.467967909856679,0.724238301982135,0.687716645401964,0.741082180367716,0.459043107563766,0.315201235657468
"exams",0.320336885222068,0.513806931782586,0.58128989142561,0.645389245771338,0.572622118426273,0.347360547773881
"fiction",0.6713503139087,0.602634920829777,0.92854984879244,0.752727159911367,0.499686816851038,1.70365430311119
"instructional",0.311161846842836,1.23929940448917,1.0731402522172,0.699232131746765,1.67580691432256,0.773505660929574
"legal presentation",0.342227226777494,0.44229874794242,0.698681027127332,0.950738216721396,0.465840964550094,1.17061849373693
"lesson",0.439784460585771,0.531373854180833,0.679842227945568,0.708900419552124,0.627460621452971,0.526908500160824
"non-academic",0.409896959643756,0.505284788153967,0.966958395768329,0.652664254128351,0.721900693465303,1.10736628661425
"online comments",0.255161719583522,0.579266811545393,0.526624558562523,0.56586292290985,0.46624437044578,0.480757355291163
"opinion",0.376552239971909,1.08791927985713,1.04310848005548,0.639314826467609,0.707104754003917,1.04859979951115
"parliamentary debate",0.397086523045314,0.355754767163315,0.776736773544452,0.784089069307725,0.389424389518547,0.323637201405774
"persuasive",0.176078485117785,0.907036663414987,0.611758034991557,0.729035161268848,0.536305942315622,0.830162575435295
"reportage",0.348097968886106,0.479530255337385,1.05400326855356,0.483934242815494,0.35142946636951,0.666408032427876
"scripted broadcast",0.393798538768691,0.690361603794748,1.03657857107765,1.19203869271544,0.960210846373985,0.615248641509215
"scripted non-broadcast",0.220121567464826,0.473104805352404,0.60584385555806,0.310548155007005,1.07338168926748,0.611562037041614
"social letters",0.449197365758158,0.708422802862593,0.582909278076513,0.604032292098555,0.523573720745426,0.708823320651613
"student essays",0.217933963703898,0.551320448919094,0.61911034597049,0.529816762417603,0.877216029496409,1.6238667732883
"telephone",0.197308362482924,0.504154348473936,0.32774043005518,0.328582155446383,0.389844826118392,0.869221382365823
"unscripted speech",0.647755804252829,0.64885507452999,0.853924069637192,0.740917016752909,0.646300459608964,0.45246533144781
